Date,Ventilators - Total Capacity,Ventilators in Use - Total,Ventilators in Use - COVID-19,Ventilators in Use - COVID-19 Patients,Ventilators in Use - COVID-19 PUI,Ventilators in Use - Non-COVID-19,Ventilators Available - Total,Ventilators Available - Hospital,Ventilators Available - EAMC Cache,Ventilator Surge Capacity,ICU Beds - Total Capacity,ICU Beds - Adult,ICU Beds - Pediatric,ICU Beds in Use - Total,ICU Beds in Use - COVID-19,ICU Beds in Use - COVID-19 Patients,ICU Beds in Use - COVID-19 PUI,ICU Beds in Use - Non-COVID-19,ICU Beds Available - Total,ICU Beds Available - Adult,ICU Beds Available - Pediatric,ICU Beds Surge Capacity - Adult,ICU Beds Surge Capacity - Pediatric,Acute Non-ICE Beds - Total Capacity,Acute Non-ICU Beds in Use - Total,Acute Non-ICU Beds in Use - COVID-19,Acute Non-ICU Beds in Use - COVID-19 Patients,Acute Non-ICU Beds in Use - COVID-19 PUI,Acute Non-ICU Beds in Use- Non-COVID-19,Acute Non-ICU Beds Available - Total,Combined Hospital Beds in Use - COVID-19,Daily Update PDF
04/28/2020,"2,103","1,025",339,313,26,686,"1,078","1,028",50,335,"1,333","1,119",214,"1,065",505,421,84,560,268,183,85,131,35,"7,541","5,706","1,316",,,"4,390","1,835","1,821",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.29_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/29/2020,"1,999","1,017",342,328,14,675,982,932,50,336,"1,333","1,119",214,"1,055",511,443,68,544,278,203,75,112,25,"7,546","5,686","1,253",,,"4,433","1,860","1,764",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.30_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/30/2020,"1,979","1,050",339,320,19,711,929,879,50,331,"1,333","1,119",214,"1,058",477,417,60,581,275,202,73,113,4,"7,543","5,437","1,194",,,"4,243","2,106","1,671",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.31_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/01/2020,"1,937","1,008",361,338,23,647,929,879,50,268,"1,353","1,139",214,"1,036",470,429,41,566,317,242,75,106,21,"7,541","5,698","1,230",,,"4,468","1,843","1,700",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.02_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/02/2020,"1,924","1,068",342,322,20,726,856,806,50,260,"1,357","1,143",214,"1,090",478,428,50,612,267,201,66,83,14,"7,467","5,560","1,134",,,"4,426","1,907","1,612",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.03_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/03/2020,"1,922","1,049",330,315,15,719,873,823,50,261,"1,357","1,143",214,"1,097",486,440,46,611,260,186,74,67,25,"7,467","5,658","1,167",,,"4,491","1,809","1,653",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.04_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/04/2020,"2,023","1,041",331,315,16,710,982,932,50,367,"1,358","1,144",214,"1,059",494,442,52,565,299,240,59,86,10,"7,476","5,694","1,181",,,"4,513","1,782","1,675",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.05_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/05/2020,"2,071","1,029",332,313,19,697,"1,042",992,50,353,"1,435","1,205",230,"1,124",462,416,46,662,311,240,71,94,28,"7,502","5,665","1,120",,,"4,545","1,837","1,582",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.06_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/06/2020,"2,137","1,117",321,303,18,796,"1,020",970,50,301,"1,431","1,201",230,"1,120",480,442,38,640,311,238,73,102,28,"7,576","5,937","1,191",,,"4,746","1,639","1,671",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.07_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/07/2020,"1,985",625,327,306,21,298,"1,360","1,310",50,341,"1,437","1,207",230,"1,176",472,436,36,704,261,211,50,96,4,"7,577","5,905","1,170",920,250,"4,735","1,672","1,642",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.08_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/08/2020,"2,067",660,328,311,17,332,"1,407","1,357",50,220,"1,427","1,197",230,"1,167",476,424,52,691,260,217,43,68,13,"7,591","5,963","1,231",936,295,"4,732","1,628","1,707",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.09_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/09/2020,"2,076",791,329,306,23,462,"1,285","1,235",50,193,"1,427","1,197",230,"1,132",494,426,68,638,295,234,61,76,24,"7,591","5,869","1,075",815,260,"4,794","1,722","1,569",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.10_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/10/2020,"2,094",812,322,302,20,490,"1,282","1,232",50,267,"1,427","1,197",230,"1,146",496,438,58,650,281,209,72,116,23,"7,591","5,813","1,069",767,302,"4,744","1,778","1,565",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.11_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/11/2020,"2,115",739,330,306,24,409,"1,376","1,326",50,296,"1,436","1,206",230,"1,176",492,437,55,684,260,210,50,297,2,"7,593","5,790","1,237",929,308,"4,553","1,803","1,729",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.12_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/12/2020,"2,098",777,336,317,19,441,"1,321","1,271",50,504,"1,407","1,177",230,"1,176",503,439,64,673,231,176,55,277,4,"7,601","5,885","1,213",876,337,"4,672","1,716","1,716",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.13_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/13/2020,"2,106",756,325,304,21,431,"1,350","1,300",50,322,"1,407","1,177",230,"1,173",474,425,49,699,234,185,49,292,22,"7,612","5,937","1,188",851,337,"4,749","1,675","1,662",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.14_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/14/2020,"2,117",781,322,295,27,459,"1,336","1,286",50,312,"1,412","1,182",230,"1,168",456,397,59,712,244,202,42,117,20,"7,593","6,043","1,219",869,350,"4,824","1,550","1,675",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.15_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/15/2020,"2,117",707,310,284,26,397,"1,410","1,360",50,298,"1,487","1,257",230,"1,204",446,394,52,758,283,241,42,84,20,"7,702","6,013","1,148",833,315,"4,865","1,689","1,594",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.16_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/16/2020,"2,137",800,285,258,27,515,"1,337","1,287",50,216,"1,495","1,265",230,"1,185",425,375,50,760,310,265,45,31,2,"7,875","6,017","1,099",756,343,"4,918","1,858","1,524",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.17_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/17/2020,"2,162",748,292,267,25,456,"1,414","1,364",50,184,"1,514","1,283",231,"1,133",432,374,58,701,381,315,66,69,2,"7,872","5,939","1,063",754,309,"4,876","1,933","1,495",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.18_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/18/2020,"2,227",801,290,260,30,511,"1,426","1,376",50,,"1,515","1,284",231,"1,113",440,376,64,673,402,332,70,,,"8,196","6,027","1,148",752,396,"4,879","2,169","1,588",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.19_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/19/2020,"2,191",787,278,255,23,509,"1,404","1,354",50,,"1,361","1,166",195,930,420,350,70,510,431,356,75,,,"7,530","5,522","1,091",741,350,"4,431","2,008","1,511",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.20_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/20/2020,"2,231",772,265,249,16,507,"1,459","1,409",50,,"1,265","1,100",165,890,419,361,58,471,375,312,63,,,"7,588","5,603","1,047",707,340,"4,556","1,985","1,466",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.21_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/21/2020,"2,216",729,273,252,21,456,"1,487","1,437",50,,"1,258","1,093",165,911,420,361,59,491,347,282,65,,,"7,592","5,583",992,646,346,"4,591","2,009","1,412",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.22_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/22/2020,"2,214",668,275,251,24,393,"1,546","1,496",50,,"1,260","1,095",165,847,407,356,51,440,413,346,67,,,"7,599","5,554",982,646,336,"4,572","2,045","1,389",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.23_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/23/2020,"2,211",754,270,254,16,484,"1,457","1,407",50,,"1,260","1,095",165,876,398,345,53,478,384,332,52,,,"7,597","5,340",909,591,318,"4,431","2,257","1,307",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.24_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/24/2020,"2,206",758,273,254,19,485,"1,448","1,398",50,,"1,260","1,095",165,865,415,360,55,450,395,347,48,,,"7,597","5,310",912,594,318,"4,398","2,287","1,327",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.25_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/25/2020,"2,197",714,261,241,20,453,"1,483","1,433",50,,"1,260","1,095",165,866,401,343,58,465,394,347,47,,,"7,597","5,553",949,614,335,"4,604","2,044","1,350",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.26_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/26/2020,"2,213",677,261,240,21,416,"1,536","1,486",50,,"1,281","1,116",165,884,411,352,59,473,397,349,48,,,"7,604","5,433",964,637,327,"4,469","2,171","1,375",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.27_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/27/2020,"2,212",615,239,219,20,376,"1,597","1,547",50,,"1,298","1,132",166,900,398,336,62,502,398,348,50,,,"7,702","5,623",935,614,321,"4,688","2,079","1,333",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.28_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/28/2020,"2,214",699,250,230,20,449,"1,515","1,465",50,,"1,326","1,160",166,858,385,323,62,473,468,397,71,,,"7,768","5,762",872,548,324,"4,890","2,006","1,257",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.29_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/29/2020,"2,194",709,240,228,12,469,"1,485","1,435",50,,"1,326","1,160",166,890,360,316,44,530,436,384,52,,,"7,781","5,490",822,527,295,"4,668","2,291","1,182",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.30_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/30/2020,"2,216",697,235,223,12,462,"1,519","1,469",50,,"1,312","1,146",166,874,373,318,55,501,438,367,71,,,"7,774","5,471",776,508,268,"4,695","2,303","1,149",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.31_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/31/2020,"2,213",671,231,218,13,440,"1,542","1,492",50,,"1,309","1,141",168,876,353,292,61,523,433,377,56,,,"7,772","5,469",752,496,256,"4,717","2,303","1,105",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.32_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/01/2020,"2,204",644,223,205,18,421,"1,560","1,510",50,,"1,234","1,069",165,770,345,286,59,425,464,394,70,,,"7,773","5,501",772,495,277,"4,729","2,272","1,117",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.02_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/02/2020,"2,207",675,212,200,12,463,"1,532","1,482",50,,"1,227","1,061",166,763,332,281,51,431,464,395,69,,,"7,768","5,351",797,502,295,"4,554","2,417","1,129",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.03_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/03/2020,"2,206",649,232,212,20,417,"1,557","1,507",50,,"1,313","1,134",179,842,338,279,59,504,471,398,73,,,"7,776","5,452",818,498,320,"4,634","2,324","1,156",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.04_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/04/2020,"2,207",638,216,198,18,422,"1,569","1,519",50,,"1,320","1,141",179,826,312,269,43,514,494,413,81,,,"7,764","5,314",721,437,284,"4,593","2,450","1,033",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.05_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/05/2020,"2,199",703,211,193,18,492,"1,496","1,446",50,,"1,320","1,141",179,819,331,278,53,488,501,428,73,,,"7,776","5,059",691,417,274,"4,368","2,717","1,022",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.06_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/06/2020,"2,213",738,187,170,17,551,"1,475","1,425",50,,"1,320","1,141",179,769,284,228,56,485,551,462,89,,,"7,776","5,212",646,420,226,"4,566","2,564",930,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.07_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/07/2020,"2,178",699,185,169,16,514,"1,479","1,429",50,,"1,320","1,141",179,800,280,226,54,520,520,452,68,,,"7,776","5,231",607,368,239,"4,624","2,545",887,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.08_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/08/2020,"2,179",596,197,155,42,399,"1,583","1,533",50,,"1,327","1,148",179,741,300,245,55,441,586,476,110,,,"7,868","5,176",707,390,317,"4,469","2,692","1,007",https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.09_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/09/2020,"2,178",616,177,167,10,439,"1,562","1,512",50,,"1,288","1,109",179,739,281,228,53,458,549,444,105,,,"7,831","5,298",611,357,254,"4,687","2,533",892,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.10_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/10/2020,"2,213",707,176,161,15,531,"1,506","1,456",50,,"1,308","1,129",179,803,259,202,57,544,505,438,67,,,"7,940","5,427",649,375,274,"4,778","2,513",908,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.11_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/11/2020,"2,197",672,174,162,12,498,"1,525","1,475",50,,"1,303","1,132",171,783,244,209,35,539,520,442,78,,,"7,969","5,311",607,349,258,"4,704","2,658",851,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.12_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/12/2020,"2,191",641,161,149,12,480,"1,550","1,500",50,,"1,303","1,132",171,806,217,190,27,589,497,441,56,,,"7,947","5,269",591,326,265,"4,678","2,678",808,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.13_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/13/2020,"2,197",645,146,133,13,499,"1,552","1,502",50,,"1,301","1,130",171,790,219,182,37,571,511,464,47,,,"7,929","5,199",474,262,212,"4,725","2,730",693,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.14_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/14/2020,"2,197",740,142,127,15,598,"1,457","1,407",50,,"1,301","1,130",171,763,215,177,38,548,538,486,52,,,"7,930","5,232",445,217,228,"4,787","2,698",660,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.15_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/15/2020,"2,220",660,152,136,16,508,"1,560","1,510",50,,"1,304","1,133",171,737,211,161,50,526,567,499,68,,,"7,937","5,057",514,259,255,"4,543","2,880",725,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.16_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/16/2020,"2,208",678,147,132,15,531,"1,530","1,480",50,,"1,297","1,126",171,775,205,164,41,570,522,465,57,,,"7,967","5,359",520,270,250,"4,839","2,608",725,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.17_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/17/2020,"2,201",693,131,107,24,562,"1,508","1,458",50,,"1,289","1,118",171,801,205,157,48,596,488,436,52,,,"7,967","5,453",469,246,223,"4,984","2,514",674,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.18_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/18/2020,"2,201",649,127,112,15,522,"1,552","1,502",50,,"1,289","1,118",171,779,188,146,42,591,510,464,46,,,"7,967","5,476",513,267,246,"4,963","2,491",701,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.19_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/19/2020,"2,168",571,118,97,21,453,"1,597","1,547",50,,"1,292","1,121",171,817,163,131,32,654,475,439,36,,,"7,967","5,524",501,254,247,"5,023","2,443",664,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.20_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/20/2020,"2,167",613,92,81,11,521,"1,554","1,504",50,,"1,292","1,121",171,737,163,124,39,574,555,504,51,,,"7,963","5,450",471,231,240,"4,979","2,513",634,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.21_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/21/2020,"2,185",664,87,73,14,577,"1,521","1,471",50,,"1,292","1,121",171,817,162,117,45,655,475,423,52,,,"7,963","5,001",429,214,215,"4,572","2,962",591,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.22_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/22/2020,"2,183",603,98,81,17,505,"1,580","1,530",50,,"1,288","1,117",171,755,164,118,46,591,533,481,52,,,"7,963","5,196",498,232,266,"4,698","2,767",662,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.23_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/23/2020,"2,184",552,98,80,18,454,"1,632","1,582",50,,"1,288","1,117",171,774,152,106,46,622,514,468,46,,,"7,963","5,427",500,260,240,"4,927","2,536",652,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.24_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/24/2020,"2,186",665,86,70,16,579,"1,521","1,471",50,,"1,288","1,117",171,794,141,100,41,653,494,449,45,,,"7,962","5,455",447,181,266,"5,008","2,507",588,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.25_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
06/25/2020,"2,188",673,94,78,16,579,"1,515","1,465",50,,"1,288","1,117",171,750,151,103,48,599,538,487,51,,,"7,961","5,377",419,218,201,"4,958","2,584",570,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.06.26_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
